name,title,expertise_topics
Yue Maggie Zhou,Associate Professor of Strategy,"leadership,innovation,business,education,technology"
Leslie K. John,James E. Burke Professor of Business Administration,"social impact,business,lifestyle,healthcare,wellness"
Rebecca A. Karp,Assistant Professor of Business Administration,"innovation,business,leadership,technology,education"
Michael S. Kaufman,,"business,leadership,innovation,wellness,education"
Rembrand M. Koning,,"innovation,business,technology,social impact,lifestyle"
Michael Lingzhi Li,Assistant Professor of Business Administration,"healthcare,social impact,AI,business,wellness"
Shirley Lu,Assistant Professor of Business Administration,"social impact,business,leadership,wellness,healthcare"
John D. Macomber,,"social impact,wellness,leadership,innovation,education"
Emily R. McComb,Sokoloff Family Senior Lecturer of Business Administration,"business,healthcare,social impact,wellness,innovation"
Michael Montelongo,Senior Lecturer of Business Administration,"leadership,business,healthcare,AI,education"
Hui Lei,Director of Engineering at Meta,"AI,technology,innovation,leadership,wellness"
Pascaline Dupas,Professor of Economics and Public Affairs,"social impact,education,wellness,leadership,innovation"
John C. Mulliken,Senior Lecturer of Business Administration,"business,technology,innovation,lifestyle,leadership"
Reva Nohria,Principal on the Health Assurance team,"wellness,healthcare,innovation,lifestyle,business"
Thomas Fujiwara,Associate Professor of Economics and International Affairs,"social impact,leadership,education,lifestyle,AI"
Varun Gauri,Lecturer of Public and International Affairs,"healthcare,social impact,education,leadership,wellness"
Elisabeth C. Paulson,"Assistant Professor of Business Administration, Technology and Operations Management","business,social impact,technology,healthcare,leadership"
Zachary Lipton,Associate Professor of Machine Learning,"AI,healthcare,technology,education,science"
Katherine Heller,Senior Research Scientist,"AI,healthcare,science,technology,leadership"
Peter Hallinan,Lead Responsible AI,"leadership,AI,technology,culture,education"
Abby Steele,"Sr. Director, AI/ML Responsible Use Program","AI,healthcare,leadership,wellness,technology"
Le Song,CTO & Chief AI Scientist,"AI,healthcare,technology,science,arts"
Jane Blaney,Associate General Counsel - Technology and Responsible AI,"AI,healthcare,technology,innovation,business"
Steve Mills,Chief AI Ethics Officer and Managing Director & Partner,"AI,leadership,business,healthcare,education"
Matthew Barker,Head of AI R&D,"AI,education,technology,science,innovation"
Matt Sanchez,"Vice President & CTO, Digital Labor","AI,leadership,innovation,technology,business"
Sabrina Shih,AI Policy Integration Lead,"AI,leadership,education,healthcare,innovation"
Mojca Cargo,Director,"AI,leadership,innovation,technology,business"
Ehsan Hoque,"Chief Scientist, National Center for Artificial IntelligenceChief Scientist, National Center for Artificial Intelligence","AI,healthcare,education,leadership,science"
Manish Goyal,"VP & Senior Partner, Global AI & Analytics Leader","AI,leadership,healthcare,innovation,business"
Priyam Mohanty,Software Engineer,"AI,technology,education,innovation,culture"
Aneesh Kanakamedala,AI Product and Program Manager,"AI,healthcare,innovation,technology,business"
Ethan C. Rouen,Terrie F. and Bradley M. Bloom Associate Professor of Business Administration,"business,social impact,leadership,wellness,innovation"
Raffaella Sadun,Charles Edward Wilson Professor of Business Administration Senior Associate Dean for HBS Publishing,"leadership,business,healthcare,technology,innovation"
Reza R. Satchu,Senior Lecturer of Business Administration,"business,leadership,innovation,education,wellness"
Amy W. Schulman,,"wellness,healthcare,business,leadership,innovation"
Joshua R. Schwartzstein,Cahners-Rabb Professor of Business Administration,"business,social impact,education,leadership,innovation"
Nancy Xu,CEO and Founder,"AI,leadership,innovation,business,technology"
Satish K. Tadikonda,Senior Lecturer of Business Administration,"innovation,business,healthcare,wellness,lifestyle"
Will Suttle,Vice President of Finance,"business,leadership,education,entertainment,innovation"
Randy Huey,Partner,"business,culture,education,technology,AI"
Tim van Biesen,Partner,"healthcare,innovation,technology,business,wellness"
Chuck Davenport,Partner,"business,entertainment,innovation,leadership,lifestyle"
Hiroaki Adachi,Partner,"business,innovation,leadership,education,technology"
Elle Yang,Partner,"business,social impact,innovation,lifestyle,technology"
Syed Ali,Partner,"technology,business,innovation,leadership,AI"
Andy Pasternak,,"wellness,innovation,business,healthcare,education"
Giacomo Marchiori,Partner,"business,leadership,AI,innovation,education"
Lauren Christman,Partner,"business,healthcare,innovation,wellness,leadership"
Suvir Varma,Partner,"business,innovation,leadership,education,entertainment"
Betsy Schneider,Partner,"business,innovation,technology,leadership,education"
Joyce Edmonds,Senior Research Scientist,"healthcare,AI,science,wellness,education"
Paul Franks,Adjunct Professor of Nutrition,"wellness,lifestyle,healthcare,sports,social impact"
Brian Flanagan,Professor,"leadership,education,innovation,wellness,arts"
Donald D. Halstead,Lecturer on Epidemiology and Director of Writing Programs,"healthcare,education,social impact,wellness,leadership"
Sarah Miller,Professor,"healthcare,social impact,wellness,lifestyle,innovation"
Sue Kwon,Marketing & Communications Expert at General Catalyst,"innovation,business,entertainment,leadership,technology"
Monica Bertagnolli,director,"healthcare,wellness,science,leadership,AI"
Noreen J. Goldman,Hughes-Rogers Professor of Demography and Public Affairs,"social impact,wellness,healthcare,lifestyle,education"
Adam Goldstein,Associate Professor of Sociology and Public Affairs,"social impact,business,healthcare,education,wellness"
Jean Baldwin Grossman,,"education,social impact,wellness,leadership,arts"
Yang Guo,Associate Research Scholar,"social impact,innovation,wellness,technology,science"
Sigrid Adriaenssens,Professor of Civil and Environmental Engineering,"AI,leadership,science,technology,innovation"
Kerry Healey,Lecturer,"healthcare,education,leadership,wellness,AI"
Arun Hendi,Assistant Professor of Sociology and Public Affairs,"social impact,lifestyle,education,culture,healthcare"
Heather Howard,"Professor of the Practice and Director, State Health and Value Strategies (SHVS)","healthcare,wellness,leadership,education,social impact"
Jennifer Jennings,"Professor of Sociology and Public Affairs, Director of the Education Research Section (ERS)","education,social impact,wellness,healthcare,leadership"
Branko Glisic,Chair and Professor of Civil and Environmental Engineering,"AI,technology,science,education,arts"
Denise Mauzerall,William S. Tod Professor of Civil and Environmental Engineering and Public and International Affairs,"science,social impact,technology,leadership,wellness"
Anu Ramaswami,,"wellness,social impact,lifestyle,technology,science"
Wei Peng,Assistant Professor of Public and International Affairs and the Andlinger Center for Energy and the Environment,"social impact,wellness,lifestyle,science,healthcare"
Danielle Allen,James Bryant Conant University Professor,"social impact,leadership,healthcare,education,wellness"
Marcella Alsan,Angelopoulos Professor of Public Policy at Harvard Kennedy School  ,"healthcare,wellness,social impact,education,leadership"
Christopher Norio Avery,Roy E. Larsen Professor of Public Policy,"social impact,education,healthcare,sports,business"
Candace Bertotti,Adjunct Lecturer in Public Policy,"education,leadership,social impact,healthcare,entertainment"
Sara Bleich,Professor of Public Health Policy,"wellness,healthcare,social impact,education,leadership"
Ki-Do Eum,Senior Research Scientist,"healthcare,wellness,social impact,lifestyle,science"
Brittany Butler,Adjunct Lecturer in Public Policy,"social impact,wellness,healthcare,leadership,innovation"
Amitabh Chandra,Ethel Zimmerman Wiener Professor of Public Policy at Harvard Kennedy School,"healthcare,wellness,leadership,education,social impact"
David Ellwood,"Isabelle and Scott Black Professor of Political Economy, Emeritus","education,social impact,leadership,arts,business"
Frances Kamm,"Littauer Professor of Philosophy and Public Policy, Emerita","healthcare,leadership,wellness,arts,education"
Herman B. (Dutch) Leonard,"George F. Baker, Jr. Professor of Public Management, HKS","leadership,social impact,wellness,business,healthcare"
Jennifer Lerner,,"leadership,science,education,social impact,AI"
Jeffrey Liebman,"Director of the Taubman Center for State and Local Government, Robert W. Scrivner Professor of Social Policy","social impact,wellness,education,healthcare,leadership"
Elizabeth Linos,Emma Bloomberg Associate Professor of Public Policy and Management,"leadership,social impact,healthcare,innovation,wellness"
MaryRose Mazzola,Adjunct Lecturer in Public Policy,"healthcare,leadership,social impact,education,arts"
Julia Minson,Associate Professor of Public Policy,"leadership,social impact,business,culture,science"
Amrisha Bhosle,Research Associate,"wellness,lifestyle,social impact,culture,science"
Deval Patrick,,"leadership,education,social impact,business,AI"
Elizabeth Rourke,Adjunct Lecturer in Public Policy,"healthcare,education,leadership,AI,wellness"
I. Glenn Cohen,"James A. Attwood and Leslie Williams Professor of Law, Deputy Dean, Faculty Director, Petrie-Flom Center for Health Law Policy, Biotechnology & Bioethics","healthcare,science,lifestyle,technology,wellness"
Mark Shepard,Associate Professor of Public Policy,"healthcare,social impact,wellness,lifestyle,sports"
Cass Sunstein,Robert Walmsley University Professor,"leadership,AI,social impact,education,healthcare"
Teddy Svoronos,Senior Lecturer in Public Policy,"education,social impact,technology,leadership,wellness"
Julie Boatright Wilson,"Harry S. Kahn Senior Lecturer in Social Policy, Emeritus","social impact,leadership,wellness,education,healthcare"
Richard Zeckhauser,Frank P. Ramsey Professor of Political Economy,"social impact,lifestyle,education,wellness,business"
Finale Doshi-Velez,Herchel Smith Professor of Computer Science,"AI,education,science,healthcare,technology"
Monther Abu-Remaileh,Assistant Professor of Chemical Engineering and of Genetics,"wellness,lifestyle,science,entertainment,innovation"
Teresa Toiyee Fung,,"wellness,lifestyle,healthcare,social impact,science"
Eric Appel,"Associate Professor of Materials Science and Engineering, Senior Fellow at the Woods Institute for the Environment and Associate Professor, by courtesy, of Pediatrics (Endocrinology) and of Bioengineering","science,technology,innovation,arts,education"
Gill Bejerano,,"science,AI,healthcare,technology,education"
Assistant Professor of Bioengineering,Assistant Professor of Bioengineering,"technology,science,innovation,AI,education"
Kwabena Boahen,Professor of Bioengineering and of Electrical Engineering,"science,AI,technology,innovation,education"
Richard and Rhoda Goldman,Richard and Rhoda Goldman Professor of Environmental Studies,"science,lifestyle,social impact,leadership,education"
Assistant Professor of Computer Science,Assistant Professor of Computer Science,"AI,technology,healthcare,education,science"
Charles (Chuck) Eesley,Associate Professor of Management Science and Engineering,"education,innovation,social impact,business,technology"
Rosalea Monacella,Design Critic in Landscape Architecture,"arts,lifestyle,innovation,leadership,education"
Peter Rowe,Raymond Garbe Professor of Architecture and Urban Design and Harvard University Distinguished Service Professor,"arts,education,lifestyle,innovation,leadership"
Bing Wang,Associate Professor in Practice of Real Estate and the Built Environment,"leadership,education,lifestyle,social impact,business"
Kent Harrison,Partner,"business,innovation,leadership,education,culture"
Edison Tse,"Associate Professor of Management Science and Engineering, Emeritus","innovation,technology,leadership,AI,business"
Paul DiPaola,Advisory Partner,"business,innovation,leadership,technology,social impact"
Carmen Halford,Lecturer on Law and Clinical Instructor,"business,education,arts,innovation,lifestyle"
Steven Wang,"Lecturer on Law, Harvard Law School","leadership,business,education,innovation,AI"
Winnie Yip,Professor of the Practice of Global Health Policy and Economics,"healthcare,wellness,social impact,lifestyle,education"
William Hsiao,"K.T. Li Professor of Economics, Emeritus","healthcare,wellness,leadership,innovation,education"
Dennis Quinn,Powers Professor of International Business and Senior Associate Dean,"social impact,business,culture,innovation,technology"
Lynn T. White,"Professor of Politics and International Affairs, Emeritus; Senior Scholar","leadership,social impact,culture,education,business"
Xu Xu,Assistant Professor of Politics and International Affairs,"AI,social impact,technology,entertainment,culture"
Joshua Meservey,Senior Fellow,"leadership,healthcare,education,social impact,wellness"
Thomas J. Duesterberg,Senior Fellow,"business,technology,AI,leadership,innovation"
David Pierson,Foreign Correspondent,"culture,sports,social impact,entertainment,leadership"
Adela Raz,Ambassador & Director of the Afghanistan Policy Lab,"leadership,education,culture,healthcare,social impact"
Michael Roberts,"Senior Fellow, Center for Defense Concepts and Technology","leadership,business,AI,sports,education"
Claire Fu,Reporter and Researcher,"social impact,entertainment,science,healthcare,technology"
William J. Antholis,Nonresident Senior Fellow - Governance Studies,"leadership,social impact,AI,education,business"
Daniel S. Hamilton,Nonresident Senior Fellow at the Brookings Institution,"leadership,social impact,education,technology,arts"
Margaret M. Pearson,,"leadership,social impact,education,culture,business"
Yiran Chen,Senior Manager,"leadership,AI,business,innovation,education"
Jiahua Liu,Ph.D. Candidate in Public Policy,"innovation,social impact,business,leadership,technology"
Shawn M. Martin,Associate,"education,social impact,technology,AI,leadership"
Joanna Tsai,Vice President,"business,AI,leadership,innovation,education"
Haoran Zhang,,"business,innovation,technology,entertainment,social impact"
Wenjie Xue,Associate,"business,innovation,leadership,technology,education"
Wei Xiong,"John H. Scully '66 Professor in Finance, Professor of Economics","innovation,business,AI,education,entertainment"
Gregory C. Chow,"Class of 1913 Professor of Political Economy, Emeritus","education,social impact,lifestyle,culture,leadership"
Patrick Beyrer,"Research Associate, Global Public Health, Center for China Analysis","education,social impact,leadership,technology,AI"
John Osburg,"Associate Professor of Anthropology, Chair of Anthropology","social impact,lifestyle,wellness,culture,leadership"
Shi Chenxia,Associate Research Fellow,"leadership,social impact,AI,innovation,education"
Chen Youjun,Senior Research Fellow,"social impact,leadership,business,culture,innovation"
Gong Keyu,"Associate Research Fellow, Deputy Director, Center for Asia-Pacific Studies","leadership,technology,education,culture,arts"
Jiang Lixiao,Assistant Research Fellow,"leadership,AI,education,culture,social impact"
Lu Chuanying,Senior Research Fellow,"technology,AI,innovation,leadership,social impact"
Liu Zongyi,Senior Fellow at the Institute for International Strategic Studies and Centre for Asia-Pacific Studies,"leadership,social impact,education,culture,innovation"
LI Kaisheng,Vice-President of SIIS Institute for Public Policy and Innovation Studies,"leadership,AI,innovation,education,arts"
Su Liuqiang,Assistant Research Fellow at SIIS and Vice Secretary General of SAAS,"leadership,education,social impact,business,innovation"
Tan Chenyi,Post-Doctor at the Center for South Asian Studies and the Institute for International Strategic and Security Studies,"education,leadership,technology,social impact,culture"
Wang Zhongmei,,"innovation,AI,technology,business,education"
Wang Yuzhu,"Senior Fellow, Research Fellow","innovation,leadership,business,social impact,AI"
Xue Lei,Assistant Research Fellow,"leadership,AI,social impact,education,innovation"
Xu Cong,Assistant Research Fellow,"social impact,education,innovation,lifestyle,leadership"
Yang Jian,Vice President and Senior Fellow,"leadership,social impact,AI,education,innovation"
Yu Hongyuan,Senior Research Fellow,"social impact,leadership,wellness,science,innovation"
Zhang Pei,Deputy Director of Center for Marine and Polar Studies,"leadership,AI,technology,social impact,culture"
Zhou Shengsheng,Assistant Research Fellow,"education,AI,leadership,technology,arts"
James E. Anderson,"Research Associate, Professor","innovation,social impact,business,AI,technology"
Scott R. Baker,Professor of Finance at Kellogg School of Management,"social impact,education,lifestyle,sports,business"
Panle Jia Barwick,Todd E. and Elizabeth H. Warnock Distinguished Chair Professor,"social impact,innovation,technology,business,AI"
Jing Cai,Associate Professor,"social impact,innovation,business,leadership,education"
Karen Eggleston,Senior Fellow at the Freeman Spogli Institute for International Studies,"healthcare,wellness,innovation,social impact,education"
Benjamin Faber,Professor,"innovation,education,technology,business,AI"
Hanming Fang,Joseph M. Cohen Term Professor of Economics and Professor of Health Care Management at the University of Pennsylvania,"healthcare,wellness,social impact,lifestyle,AI"
Robert C. Feenstra,Professor,"innovation,business,education,AI,technology"
Ana Cecília Fieler,Faculty Research Fellow,"innovation,social impact,technology,business,AI"
Raymond Fisman,Professor at Boston University,"culture,leadership,social impact,innovation,business"
Roger H. Gordon,"Research Associate, Professor","social impact,lifestyle,innovation,business,education"
Lawrence H. Goulder,Shuzo Nishihara Professor in Environmental and Resource Economics,"social impact,lifestyle,wellness,education,innovation"
Kyle Handley,Professor,"social impact,business,education,innovation,technology"
Thomas J. Holmes,Professor and Chair of Economics,"social impact,innovation,business,technology,education"
Sabrina T. Howell,Research Associate and Professor of Finance,"innovation,social impact,business,wellness,lifestyle"
Ginger Zhe Jin,Neil Moskowitz Professor of Economics,"social impact,business,innovation,AI,education"
Wolfgang Keller,Professor at the University of Colorado Boulder,"social impact,innovation,wellness,education,technology"
Peter J. Kuhn,Distinguished Professor of Economics,"social impact,business,education,leadership,technology"
Nelson Mark,Professor of Economics and Econometrics,"social impact,education,AI,technology,sports"
Lee E. Ohanian,"Research Associate, Professor of Economics, and Director of the Ettinger Family Program in Macroeconomic Research at University Of California, Los Angeles","social impact,innovation,AI,technology,wellness"
Gerard Padró I Miquel,"Professor of Economics and Political Science, Research Associate","social impact,education,innovation,business,leadership"
Carol H. Shiue,Professor of Economics,"social impact,education,wellness,innovation,business"
Barbara J. Spencer,"Professor, Research Associate","innovation,business,social impact,AI,education"
John Strauss,Professor of Economics,"social impact,wellness,lifestyle,healthcare,education"
Shing-Yi Wang,Associate Professor of Business Economics and Public Policy,"social impact,business,education,innovation,lifestyle"
Michael E. Waugh,Research Associate,"education,innovation,AI,technology,culture"
Shang-Jin Wei,Professor at Columbia University,"business,social impact,education,leadership,innovation"
Robert F. Whitelaw,Edward C. Johnson 3d Professor of Entrepreneurial Finance,"business,AI,education,lifestyle,leadership"
Wei Xiong,Professor at Princeton University,"AI,business,innovation,education,technology"
David Y. Yang,Professor and Research Associate,"technology,innovation,leadership,AI,education"
Guoguang Wu,Senior Research Scholar,"leadership,culture,social impact,technology,education"
Wendy Chang,Analyst,"technology,innovation,AI,education,social impact"
Bert Hofman,Senior Associate Fellow,"education,leadership,social impact,innovation,culture"
Andreas Mischer,Associate Analyst,"business,AI,innovation,education,leadership"
Sarah B. Barnes,"Director, Maternal Health Initiative","healthcare,wellness,social impact,leadership,AI"
Dan Wang,chief economist,"AI,education,wellness,leadership,innovation"
Rebecca Pincus,"Director, Polar Institute","leadership,AI,science,social impact,education"
Bruna Santos,"Director, Brazil Institute","leadership,innovation,AI,arts,education"
Alex Botting,Global Fellow,"AI,leadership,technology,business,innovation"
Artem Gergun,George F. Kennan Fellow,"culture,technology,business,leadership,innovation"
WANG Kun,Associate Professor (Tenured),"business,leadership,education,social impact,culture"
Klaus Larres,Richard M. Krasno Distinguished Professor of History and International Affairs,"leadership,culture,AI,social impact,business"
Jim Mullinax,"State Department Fellow; Senior Foreign Service Officer, US Department of State","leadership,culture,education,business,healthcare"
Andreas Raspotnik,"Global Fellow, Global Europe Program","AI,leadership,social impact,technology,innovation"
YIN Xiang,Assistant Professor,"innovation,business,social impact,education,AI"
WANG Tianyu,Associate Professor of Finance,"business,education,sports,social impact,leadership"
XU Xin,"Starr Endowed Chair Professor, Associate Dean, School of Economics and Management","business,innovation,education,technology,leadership"
Zhu Wu,Assistant Professor of Finance,"AI,business,innovation,social impact,education"
ZHU Yan,Professor,"technology,AI,business,healthcare,innovation"
Kangping Wu,Professor of Economics,"education,social impact,innovation,technology,business"
David B. Yoffie,Max and Doris Starr Professor of International Business Administration,"leadership,business,innovation,education,AI"
David Crowley,Manager of LATN Research Operations,"technology,social impact,wellness,leadership,healthcare"
Julian L. Delgado,Colusa County Health Officer,"healthcare,wellness,leadership,AI,science"
David Duvenaud,,"AI,healthcare,innovation,science,technology"
Graham Reeve,Media Relationship Manager,"technology,innovation,business,leadership,healthcare"
Peter P. Marra,Laudato Si’ Professor of Biology and the Environment,"science,social impact,lifestyle,wellness,arts"
Hilary Gosher,Managing Director,"innovation,leadership,AI,business,wellness"
Tracy Thurkow,Partner,"leadership,innovation,technology,business,social impact"
Helen Eldred,Project Policy Analyst,"social impact,education,lifestyle,leadership,healthcare"
Jessica Payne,Managing Director,"business,technology,innovation,leadership,entertainment"
Veronica Miller,Marketing Communications,"innovation,business,arts,entertainment,lifestyle"
Luke Koslosky,,"AI,education,technology,innovation,arts"
Jose Francisco Figueroa,Associate Professor of Health Policy and Management,"healthcare,wellness,leadership,social impact,education"
Fei Yan,Associate Professor of Sociology,"social impact,culture,arts,leadership,lifestyle"
Sumit Johar,Chief Information Officer,"AI,leadership,innovation,technology,education"
Cyril Zhang,Senior Researcher at Microsoft AI,"AI,education,technology,innovation,science"
Nicolas Bilodeau,"Managing Partner, Montreal & Ottawa","leadership,business,innovation,education,AI"
Alon Brav,Bratton Family Distinguished Professor of Finance,"business,social impact,education,entertainment,science"
Ronitt Rubinfeld,Edwin Sibley Webster Professor of Electrical Engineering and Computer Science,"AI,science,technology,innovation,education"
Cheryl Mikuls,Senior Client Partner,"leadership,business,arts,education,innovation"
Mallory St. Clair,PhD Graduate Research Assistant,"science,leadership,AI,education,technology"
Wendy D,Executive Assistant,"AI,leadership,arts,education,innovation"
Paul Benson,"Regional Managing Partner, EMEA Industrial Markets, Global Leader, Infrastructure, Construction & Services","leadership,business,innovation,education,arts"
Sunil Gupta,Edward W. Carter Professor of Business Administration and Chair of the General Management Program,"business,leadership,innovation,entertainment,technology"
Nick Johnston,Research Scientist,"AI,technology,education,science,arts"
Lauren H. Cohen,L.E. Simmons Professor of Business Administration,"business,innovation,education,leadership,social impact"
Jonathan Shafer,Postdoctoral Associate,"AI,science,education,technology,healthcare"
Emily Donaldson,Principal,"healthcare,leadership,wellness,innovation,AI"
Kirida Bhaopichitr,"Research Director for International Economics and Development Policy, Director for TDRI Economic Intelligence Service (TDRI EIS)","AI,education,innovation,technology,leadership"
Morty Eisenberg,"Assistant Professor, Independent Practice","healthcare,wellness,education,leadership,lifestyle"
Akira Shibata,Senior Client Partner,"leadership,business,innovation,AI,wellness"
Jens Kengelbach,Managing Director & Senior Partner; Global Leader of Mergers & Acquisitions,"business,leadership,innovation,AI,technology"
Neeraj Arora,,"innovation,business,technology,education,AI"
Jessica Van Parys,Assistant Professor at Hunter College and Research Advisor,"healthcare,social impact,wellness,lifestyle,education"
Scott Hensarling,Senior Client Partner,"leadership,innovation,business,education,culture"
Ian Masias,"Program Head, Development Strategies and Governance Unit","education,AI,social impact,wellness,technology"
Dane Hautala,Assistant Scientist,"social impact,wellness,healthcare,lifestyle,education"
Ramesh Rao,Professor,"education,business,innovation,leadership,social impact"
Kevin Dalmeijer,Senior Research Associate,"AI,technology,social impact,innovation,leadership"
Ghada El-Hajj Fuleihan,Lown Scholar in Global Health and Population at Harvard University,"wellness,healthcare,science,lifestyle,social impact"
David M. Cutler,Otto Eckstein Professor of Applied Economics,"healthcare,social impact,wellness,AI,lifestyle"
Taylor Bolhack,Head of Platform,"leadership,business,innovation,social impact,entertainment"
A. George Bajalia,Assistant Professor of Anthropology,"culture,arts,lifestyle,social impact,technology"
Xiaoxue Gao,,"arts,science,education,technology,AI"
Daniel Gottlieb,,"healthcare,wellness,education,science,lifestyle"
Christoph Meinel,Founding President and CEO,"leadership,education,innovation,technology,science"
Ayse Sena Mutlu,Researcher,"science,technology,innovation,wellness,AI"
Jerry Lin,Principal at Cornerstone Research,"technology,business,education,innovation,leadership"
Joanna Lu,Partner,"leadership,business,innovation,entertainment,lifestyle"
Brittany Swain,Senior Principal,"leadership,education,innovation,wellness,AI"
Maxwell Tabarrok,Pre-Doctoral Researcher,"science,innovation,social impact,healthcare,education"
Richard Record,"Lead Country Economist for the Western Balkans and Program Leader for Equitable Growth, Finance and Institutions","leadership,business,healthcare,education,social impact"
Masatomo Kobayashi,"Senior Research Scientist, Digital Health","AI,technology,healthcare,wellness,arts"
Sue Ashford,Michael and Susan Jandernoa Professor in the Management and Organizations group,"leadership,education,business,arts,innovation"
Agustinus Kristiadi,Postdoctoral Fellow,"AI,science,education,leadership,technology"
Amelia Frank-Vitale,Assistant Professor of Anthropology and the Princeton School of Public and International Affairs,"social impact,education,culture,arts,lifestyle"
Jennifer Cerully,Behavioral and Social Scientist,"social impact,wellness,science,lifestyle,healthcare"
Chuck Boyer,Senior Manager,"business,leadership,education,healthcare,entertainment"
Sanderijn Cels,Adjunct Lecturer in Public Policy,"leadership,education,social impact,innovation,healthcare"
Tohru Nagano,"Senior Research Scientist, Speech and Language Processing","AI,technology,leadership,innovation,education"
Medlir Mema,,"AI,leadership,education,technology,innovation"
Yan Mei,"Senior Partner, Chair of China at Brunswick Group","leadership,culture,business,education,arts"
Marco Argenti,Chief Information Officer,"leadership,business,AI,technology,innovation"
